ts,motivo,transcricao
2026-07-26T18:00:10-04:00,pendência expirada (recorrente_cobranca),"🔁 Academia (Iron Gym) (R$ 110,00) ainda não apareceu esse mês — pagou?"
2026-07-27T18:00:10-04:00,pendência expirada (recorrente_cobranca),"🔁 iFood Club (R$ 5,95) ainda não apareceu esse mês — pagou?"
2026-08-05T08:29:20-04:00,correção aplicada à mão (bug: correção do Telegram não pegava),"Corrigir o 26,92 mercado porcarias para cinema, ele deve ir para conta A"
2026-08-05T11:43:24-04:00,"correção não aplicada (campo=None, id='28')","corrige o 26,92 do mercado, vai pra conta B"
2026-08-16T00:30:10-04:00,pendência expirada (recorrente_cobranca),"🔁 Academia (Iron Gym) (R$ 110,00) ainda não apareceu esse mês — pagou?"
2026-08-21T00:30:08-04:00,pendência expirada (recorrente_cobranca),"🔁 YouTube Premium (R$ 26,90) ainda não apareceu esse mês — pagou?"
2026-08-22T00:30:10-04:00,pendência expirada (recorrente_cobranca),"🔁 Spotify (R$ 23,90) ainda não apareceu esse mês — pagou?"
